S10.G00.00.001,'Ciel Paye Evolution'
S10.G00.00.002,'Ciel'
S10.G00.00.003,'15.00/5.30'
S10.G00.00.005,'02'
S10.G00.00.006,'P03V01'
S10.G00.00.007,'01'
S10.G00.00.008,'01'
S10.G00.01.001,'993392497'
S10.G00.01.002,'00025'
S10.G00.01.003,'KIEFFER'
S10.G00.01.004,'Z.A. SAINT FREDERIQUE'
S10.G00.01.005,'64100'
S10.G00.01.006,'BAYONNE'
S10.G00.02.001,'02'
S10.G00.02.002,'MIRAMON NATHALIE'
S10.G00.02.004,'compta@villanuevasportauto.com'
S10.G00.02.005,'0559558269'
S10.G00.02.006,'0559555232'
S20.G00.05.001,'01'
S20.G00.05.xx2,'01'
S20.G00.05.003,'11'
S20.G00.05.004,'1'
S20.G00.05.005,'01022016'
S20.G00.05.007,'15032016'
S20.G00.05.008,'01'
S20.G00.05.009,'150915144551487'
S20.G00.05.010,'01'
S20.G00.07.001,'MIRAMON Nathalie'
S20.G00.07.002,'0506544528'
S20.G00.07.003,'compta@villanuevasportauto.com'
S20.G00.07.004,'02'
S21.G00.06.001,'993392497'
S21.G00.06.002,'00025'
S21.G00.06.003,'4511Z'
S21.G00.06.004,'Z.A. SAINT FREDERIQUE'
S21.G00.06.005,'64100'
S21.G00.06.006,'BAYONNE'
S21.G00.06.903,'KIEFFER'
S21.G00.11.001,'00025'
S21.G00.11.002,'4511Z'
S21.G00.11.003,'Z.A. SAINT FREDERIQUE'
S21.G00.11.004,'64100'
S21.G00.11.005,'BAYONNE'
S21.G00.11.111,'20150315'
S21.G00.11.904,'KIEFFER'
S21.G00.15.001,'NOUVCONTRAT'
S21.G00.15.002,'AXA001'
S21.G00.15.003,'IGEST1'
S21.G00.15.004,'01'
S21.G00.15.005,'200'
S21.G00.15.001,'CACTIV-SANTE'
S21.G00.15.002,'AXA001'
S21.G00.15.003,'IGEST1'
S21.G00.15.004,'01'
S21.G00.15.005,'300'
S21.G00.82.001,'250.00'
S21.G00.82.002,'090'
S21.G00.82.003,'01022016 '
S21.G00.82.004,'31012016'
S21.G00.82.005,'200'
S21.G00.82.001,'340.00'
S21.G00.82.002,'090'
S21.G00.82.003,'01022016 '
S21.G00.82.004,'31012016'
S21.G00.82.005,'200'
S21.G00.82.001,'250.00'
S21.G00.82.002,'090'
S21.G00.82.003,'01022016 '
S21.G00.82.004,'31012016'
S21.G00.82.005,'300'
S21.G00.20.001,'AXA001'
S21.G00.20.003,'BIC'
S21.G00.20.004,'IBAN'
S21.G00.20.005,'101.20'
S21.G00.20.006,'01012000'
S21.G00.20.007,'01012000'
S21.G00.20.008,'IGEST1'
S21.G00.20.010,'02'
S21.G00.20.011,'02012016'
S21.G00.55.001,'590.00'
S21.G00.55.002,'590.00'
S21.G00.55.003,'NOUVCONTRAT'
S21.G00.55.004,'2015M03'
S21.G00.55.001,'590.00'
S21.G00.55.002,'590.00'
S21.G00.55.003,'CACTIV-SANTE'
S21.G00.55.004,'2015M03'
S21.G00.30.001,'1840372181338'
S21.G00.30.002,'RIDODO31'
S21.G00.30.003,'RIDODO31'
S21.G00.30.004,'Julien'
S21.G00.30.006,'16081975'
S21.G00.30.007,'SAINT VINCENT DE TYROSSE'
S21.G00.30.008,'7 RUE JOSEPH MERY'
S21.G00.30.009,'75015'
S21.G00.30.010,'SAINT VINCENT DE TYROSSE'
S21.G00.30.014,'40'
S21.G00.30.015,'FR'
S21.G00.30.018,'RIDODO31@blue.fr'
S21.G00.30.019,'S021'
S21.G00.30.021,'3'
S21.G00.34.001,'10'
S21.G00.40.001,'25022015'
S21.G00.40.002,'07'
S21.G00.40.003,'04'
S21.G00.40.004,'634C'
S21.G00.40.006,'TECHNICIEN ELECTRONICIEN'
S21.G00.40.007,'01'
S21.G00.40.008,'99'
S21.G00.40.009,'CT00015'
S21.G00.40.011,'10'
S21.G00.40.012,'151.67'
S21.G00.40.013,'151.67'
S21.G00.40.014,'10'
S21.G00.40.016,'99'
S21.G00.40.017,'1090'
S21.G00.40.018,'200'
S21.G00.40.019,'40341609200019'
S21.G00.70.004,'SCEDRE/SGT30+'
S21.G00.70.005,'POP1'
S21.G00.70.012,'1'
S21.G00.70.013,'200'
S21.G00.71.002,'RETC'
S21.G00.50.001,'02012016'
S21.G00.50.002,'1450'
S21.G00.51.001,'01022016 '
S21.G00.51.002,'31012016'
S21.G00.86.001,'01'
S21.G00.86.002,'03'
S21.G00.86.003,'20'
S21.G00.86.005,'CT00015'
S21.G00.30.001,'1840172181338'
S21.G00.30.002,'RIDODO32'
S21.G00.30.003,'RIDODO32'
S21.G00.30.004,'Antoine'
S21.G00.30.006,'16081975'
S21.G00.30.007,'SAINT VINCENT DE TYROSSE'
S21.G00.30.008,'7 RUE JOSEPH MERY'
S21.G00.30.009,'75015'
S21.G00.30.010,'SAINT VINCENT DE TYROSSE'
S21.G00.30.014,'40'
S21.G00.30.015,'FR'
S21.G00.30.018,'RIDODO32@blue.fr'
S21.G00.30.019,'S021'
S21.G00.30.021,'3'
S21.G00.34.001,'10'
S21.G00.40.001,'25022015'
S21.G00.40.002,'07'
S21.G00.40.003,'04'
S21.G00.40.004,'634C'
S21.G00.40.006,'TECHNICIEN ELECTRONICIEN'
S21.G00.40.007,'01'
S21.G00.40.008,'99'
S21.G00.40.009,'CT00015'
S21.G00.40.011,'10'
S21.G00.40.012,'151.67'
S21.G00.40.013,'151.67'
S21.G00.40.014,'10'
S21.G00.40.016,'99'
S21.G00.40.017,'1090'
S21.G00.40.018,'200'
S21.G00.40.019,'40341609200019'
S21.G00.70.004,'SCEDRE/SGT30+'
S21.G00.70.005,'POP1'
S21.G00.70.012,'1'
S21.G00.70.013,'200'
S21.G00.71.002,'RETC'
S21.G00.50.001,'02012016'
S21.G00.50.002,'1450'
